meeting_date,meeting_name,item_number,category,vendor,dollar_amounts,max_amount,contract_keywords,has_attachment,transparency_gap,file_count,attached_files,item_text_preview
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,,,0,nte,True,False,1,Attc 8.03 - AF10309.pdf (802 KB),"WHEREAS , McNair Academic High School wishes to send thirty (30) students and four (4) chaperones to the NJ School of Conservation located at 1 Wapalanne Rd, Sandyston, NJ from March 25-27, 2024; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves thirty (30) students and four (4) chaperones from McNair Academic High School to attend a class trip to the NJ School of Conservation to foster enviro"
20240125,"Regular Meeting, 6:00 p.m.",,EDUCATIONAL,,"$7,350.00",7350.0,vendor; not to exceed; nte; mou; tuition,True,False,1,"Attc 8.04 - AF10374.pdf (2,375 KB)","WHEREAS , NJAC 6:A:16-10.1 and 10.2 the district is mandated to provide instruction to students that are hospitalized or court ordered to a treatment facility. The district would not know if a student is at any given location and in need of services until after the home school has been contacted. After which the district has less than 5 days of the student's arrival at the facility to arrange and provide instruction; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendatio"
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,,"$15,818.55; $8,725.50; $7,093.05",15818.55,nte,True,False,2,"Attc 8.05 - AF10340 - Maui Fire Relief Donations.pdf (1,188 ; Attc 8.05 - AF10340 - Morocco Earthquake Relief.pdf (1,204 K","WHEREAS , the Jersey City Public Schools conducted two (2) District Wide Dress Down Days.  Friday, October 6, 2023 for the victims of the Maui fire; and Friday, November 3, 2023 for the victims of the Morocco earthquake, collecting a total of $15,818.55; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves the donations the JCPS District has collected for the victims of Maui and Morocco. A total "
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,,,0,nte,False,True,0,,"WHEREAS , the district maintains an approved list of destinations for field trips.  There is a need to add the American Folk Art Museum in New York City to the approved field trip list to enrich and ignite critical thinking skills and creativity through understanding and appreciation of the self-taught American artist. There is no cost to the district for admission; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business A"
20240125,"Regular Meeting, 6:00 p.m.",,COMPETITIVE_BID,,"$418,000.00",418000.0,contract; vendor; bid; rfp; award; not to exceed; nte,True,False,1,"Attc 8.07 - AF10347.pdf (1,441 KB)","WHEREAS , a notice was published in two (2) newspapers and the Jersey City Board of Education website. Notice of Competitive Contract/RFP was sent to three (3) vendors; and WHEREAS , one (1) response was received and read aloud on Wednesday, December 27, 2023; and WHEREAS , based on the selection criteria of cost, effectiveness, experience, and qualifications, the committee selected Institute for Multi-Sensory Education located at 24800 Denso Drive, Southfield, MI 48033; now BE IT RESOLVED , the"
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,,$330.00,330.0,nte,True,False,1,"Attc 8.08 - AF10344.pdf (2,393 KB)","WHEREAS , Michael Conti School (PS#5) wishes to send twenty-nine (29) grade 8 students and four (4) adult chaperones on a 2-day Field Trip to historical Philadelphia, PA from June 5, 2024 and return on June 6, 2024; and WHEREAS , the objective of the trip is to tour historical sites and the Benjamin Franklin Print Shop and more; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves t he 2-day fiel"
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,,"$2,250.00; $4,664.00",4664.0,nte,True,False,1,"Attc 8.09 - AF10298.pdf (1,659 KB)","WHEREAS , Henry Snyder High School (SHS) wishes to send one hundred twenty (120) Senior students and eleven (11) chaperones on a Field Trip to Camp Mason in Hardwick Township, NJ on May 24, 2024; and WHEREAS , Camp Mason is a very adventurous place to learn and experience different aspects of nature and to interact and network with other peers that will also be there; now WHEREAS, the bus is being paid under the account #15.000.270.512.054.00.0000 ($2,250.00).  The cost of the trip is $4,664.00 "
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,Henry Snyder High School,$500.00; $500.00,500.0,award; nte; mou,True,False,1,"Attc 8.10 - AF10101.pdf (2,151 KB)","WHEREAS , H ENRY SNYDER HS needs the approval and would be greatly appreciative and honored to accept this generous donation of $500 dollars towards the supplies that accumulate to the actual amount. This donation will do great justice in providing what is needed for our students here at Snyder High School. We are very thankful for all that anyone do for our community and most importantly for our school, our students. WHEREAS , HENRY SNYDER HS, Principal, Dr. Troy Smith accepts the donation of t"
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,Liberty High School,,0,award; nte,True,False,1,"Attc 8.11 - AF10221.pdf (2,109 KB)","WHEREAS, Liberty High School wishes to accept a donation of 22 blinds from the Parent Council which will be utilized for all classroom door windows; now BE IT RESOLVED, the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves the donation of 22 blinds from the Parent Council awarded to Liberty High School for the classroom door windows at no cost to the District. Originator:  Jaime Morales, Director"
20240125,"Regular Meeting, 6:00 p.m.",,CONTRACT_GENERAL,,"$75.00; $6,039.00",6039.0,not to exceed; nte,True,False,1,"Attc 8.12 - AF10115.pdf (2,468 KB)","WHEREAS , Innovation High School Class of 2024, has chosen The Brownstone in Paterson, NJ as their prom venue; and WHEREAS , the prom will take place on Thursday, May 23, 2024, from 6:00 p.m. to 11:00 p.m.; and WHEREAS , Class Advisors Ms. Priscilla Camacho & Nancy Ortiz, will be chaperoning the prom with 8 additional staff, Karen Perez, Christopher Lijoi, Adam Klein, Nancy Ortiz, Joseph Fasani, Gaetana Petito, and Frank Dooley; and WHEREAS , the cost includes the DJ and all meals; and WHEREAS ,"
